Name	context	language	repository	file	url	split	grammar pattern	Count	Christian Grammar Pattern	Syreen Grammar Pattern	Eman Grammar Pattern	Mahie Grammar Pattern
allStore	ATTRIBUTE	Java	Spark	core/src/main/java/org/jivesoftware/sparkimpl/certificates/GeneralTrustManager.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/sparkimpl/certificates/GeneralTrustManager.java	all Store	DT N	109	DT N	DT N	DT N	DT N
allStreamsFinished	FUNCTION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/work/batch/BaseRawBatchBuffer.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/work/batch/BaseRawBatchBuffer.java	all Streams Finished	DT NPL V	3	DT NPL V	DT NPL V	DT NPL V	DT NPL V
allUsers	PARAMETER	C++	facebook-repo-ds2	Sources/Host/FreeBSD/Platform.cpp	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Sources/Host/FreeBSD/Platform.cpp	all Users	DT NPL	20	DT NPL	DT NPL	DT NPL	DT NPL
among	PARAMETER	C++	rigraph	src/core/games/degree_sequence_vl/gengraph_graph_molloy_optimized.cpp	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/games/degree_sequence_vl/gengraph_graph_molloy_optimized.cpp	among	P	10	P	P	P	P
ancestor_out	PARAMETER	C	git2r	src/libgit2/src/libgit2/checkout.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/checkout.c	ancestor out	NM N	103	NM N	NM N	NM N	NM N
and	DECLARATION	Java	immutables	generator/src/org/immutables/generator/Builtins.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator/src/org/immutables/generator/Builtins.java	and	CJ	1	CJ	CJ	CJ	CJ
andFilterAtIndex	FUNCTION	Java	drill	contrib/storage-druid/src/main/java/org/apache/drill/exec/store/druid/common/DruidUtils.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/storage-druid/src/main/java/org/apache/drill/exec/store/druid/common/DruidUtils.java	and Filter At Index	NM N P N	9	NM N P N	CJ N P N	CJ N P N	NM N P N
andNode	PARAMETER	Java	drill	contrib/storage-googlesheets/src/main/java/org/apache/drill/exec/store/googlesheets/GoogleSheetsPushDownListener.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/storage-googlesheets/src/main/java/org/apache/drill/exec/store/googlesheets/GoogleSheetsPushDownListener.java	and Node	NM N	103	NM N	CJ N	CJ N	NM N
anotherID	PARAMETER	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/openfire/cluster/NodeID.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/cluster/NodeID.java	another ID	DT N	109	DT N	DT N	DT N	DT N
anSize	PARAMETER	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	an Size	NM N	103	NM N	NM N	NM N	NM N
any_hidden	PARAMETER	C++	panda3d	panda/src/egg2pg/eggLoader.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/egg2pg/eggLoader.cxx	any hidden	DT NM	3	DT NM	DT NM	DT NM	DT NM
aOldRecord1	PARAMETER	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	a Old Record 1	PRE NM N D	2	PRE NM N D	PRE NM N D	PRE NM N D	PRE NM N D
APPLICATION_INFO2	ATTRIBUTE	Java	Spark	core/src/main/java/org/jivesoftware/resource/Default.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/resource/Default.java	APPLICATION INFO 2	NM N D	33	NM N D	NM N D	NM N D	NM N D
aReplace	PARAMETER	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	a Replace	PRE V	4	PRE V	PRE V	PRE V	NM V
areUnitiesinShape	CLASS	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-backend-impls/nd4j-minimizer/src/main/java/org/nd4j/linalg/minimal/bindings/Nd4jMinimal.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-minimizer/src/main/java/org/nd4j/linalg/minimal/bindings/Nd4jMinimal.java	are Unities in Shape	V NPL P N	1	V NPL P N	V NPL P N	V NPL P N	V NPL P N
arg1	PARAMETER	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/util/JiveInitialLdapContext.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/JiveInitialLdapContext.java	arg 1	N D	125	N D	N D	N D	N D
arg18	PARAMETER	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java	arg 18	N D	125	N D	N D	N D	N D
arg26	PARAMETER	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/blas/CudaBLASDelegator.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/blas/CudaBLASDelegator.java	arg 26	N D	125	N D	N D	N D	N D
arg29	PARAMETER	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-backend-impls/nd4j-native/src/main/java/org/nd4j/linalg/cpu/nativecpu/OpenblasLapackDelegator.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-native/src/main/java/org/nd4j/linalg/cpu/nativecpu/OpenblasLapackDelegator.java	arg 29	N D	125	N D	N D	N D	N D
arg31	PARAMETER	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java	arg 31	N D	125	N D	N D	N D	N D
as_array_parameter	FUNCTION	C++	panda3d	direct/src/dcparser/dcArrayParameter.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcArrayParameter.cxx	as array parameter	P NM N	31	P NM N	P NM N	P NM N	P NM N
as_binary	ATTRIBUTE	C	rigraph	src/vendor/cigraph/vendor/glpk/mpl/mpl.h	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl.h	as binary	P N	70	P N	P N	P N	P N
as_bounding_box	FUNCTION	C++	panda3d	panda/src/mathutil/boundingVolume.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/mathutil/boundingVolume.cxx	as bounding box	P NM N	31	P NM N	P NM N	P NM N	P NM N
as_field	FUNCTION	C++	panda3d	direct/src/dcparser/dcField.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcField.cxx	as field	P N	70	P N	P N	P N	P N
as_file	PARAMETER	C	git2r	src/libgit2/src/libgit2/diff_file.h	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/diff_file.h	as file	P N	70	P N	P N	P N	P N
as_function_type	FUNCTION	C++	panda3d	dtool/src/cppparser/cppTypeProxy.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/dtool/src/cppparser/cppTypeProxy.cxx	as function type	P NM N	31	P NM N	P NM N	P NM N	P NM N
as_in	ATTRIBUTE	C	rigraph	src/vendor/cigraph/vendor/glpk/mpl/mpl.h	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl.h	as in	P P	4	P P	P P	P P	P P
as_molecular_field	FUNCTION	C++	panda3d	direct/src/dcparser/dcField.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcField.cxx	as molecular field	P NM N	31	P NM N	P NM N	P NM N	P NM N
as_of	PARAMETER	C	panda3d	panda/src/pstatclient/pStatCollector.h	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/pstatclient/pStatCollector.h	as of	P P	4	P P	P P	P P	P P
as_pointer	FUNCTION	C++	panda3d	dtool/src/cppparser/cppExpression.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/dtool/src/cppparser/cppExpression.cxx	as pointer	P N	70	P N	P N	P N	P N
as_simple_parameter	FUNCTION	C++	panda3d	direct/src/dcparser/dcParameter.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcParameter.cxx	as simple parameter	P NM N	31	P NM N	P NM N	P NM N	P NM N
as_warning	PARAMETER	C	libxo	libxo/libxo.c	https://github.com/Juniper/libxo/blob/290d88625c683bca60e05e68dd2003c290f50f99/libxo/libxo.c	as warning	P N	70	P N	P N	P N	P N
as_within	ATTRIBUTE	C	rigraph	src/vendor/cigraph/vendor/glpk/mpl/mpl.h	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl.h	as within	P P	4	P P	P P	P P	P P
asArray	ATTRIBUTE	Java	drill	contrib/format-log/src/main/java/org/apache/drill/exec/store/log/LogBatchReader.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-log/src/main/java/org/apache/drill/exec/store/log/LogBatchReader.java	as Array	P N	70	P N	P N	P N	P N
asCaching	FUNCTION	Java	immutables	value-processor/src/org/immutables/value/processor/meta/CachingElements.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/CachingElements.java	as Caching	P V	13	P V	P V	P V	P V
asCString	FUNCTION	C++	freeminer	lib/jsoncpp/jsoncpp.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/lib/jsoncpp/jsoncpp.cpp	as C String	P NM N	31	P NM N	P NM N	P NM N	P NM N
asDiamond	DECLARATION	Java	immutables	value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/AbstractValuesTemplate.java	as Diamond	P N	70	P N	P N	P N	P N
asDouble	FUNCTION	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/buffer/CudaUInt32DataBuffer.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/buffer/CudaUInt32DataBuffer.java	as Double	P N	70	P N	P N	P N	P N
asFunction	ATTRIBUTE	Java	guava	android/guava/src/com/google/common/escape/Escaper.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/escape/Escaper.java	as Function	P N	70	P N	P N	P N	P N
asid	PARAMETER	C	toggldesktop	third_party/poco/openssl/build/include/openssl/x509v3.h	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/openssl/build/include/openssl/x509v3.h	as id	NM N	103	P N	NM N	NM N	NM N
asInt64	FUNCTION	C++	toggldesktop	third_party/jsoncpp/src/lib_json/json_value.cpp	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/jsoncpp/src/lib_json/json_value.cpp	as Int64	P N	70	P N	P N	P N	P N
asLong	DECLARATION	Java	guava	guava/src/com/google/common/primitives/UnsignedInts.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/primitives/UnsignedInts.java	as Long	P N	70	P N	P N	P N	P N
asMap	FUNCTION	Java	drill	exec/vector/src/main/codegen/templates/UnionWriter.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/vector/src/main/codegen/templates/UnionWriter.java	as Map	P N	70	P N	P N	P N	P N
asReadOnly	FUNCTION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/record/DeadBuf.java	as Read Only	P NM VM	1	P NM VM	P NM VM	P NM VM	P NM VM
asSortedEntryList	FUNCTION	Java	Singularity	SingularityBase/src/main/java/com/hubspot/mesos/CounterMap.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityBase/src/main/java/com/hubspot/mesos/CounterMap.java	as Sorted Entry List	P NM NM N	7	P NM NM N	P NM NM N	P NM NM N	P NM NM N
asString	DECLARATION	Java	immutables	criteria/geode/src/org/immutables/criteria/geode/OqlLiterals.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/criteria/geode/src/org/immutables/criteria/geode/OqlLiterals.java	as String	P N	70	P N	P N	P N	P N
asStripes	DECLARATION	Java	guava	guava/src/com/google/common/util/concurrent/Striped.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/util/concurrent/Striped.java	as Stripes	P NPL	5	P NPL	P NPL	P NPL	P NPL
asTransformGeneratorTransform	FUNCTION	Java	immutables	generator-processor/src/org/immutables/generator/processor/TypeResolver.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator-processor/src/org/immutables/generator/processor/TypeResolver.java	as Transform Generator Transform	P NM NM N	7	P NM NM N	P NM NM N	P NM NM N	P NM NM N
asV	DECLARATION	Java	guava	android/guava/src/com/google/common/util/concurrent/AbstractFuture.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/util/concurrent/AbstractFuture.java	as V	P N	70	P N	P N	P N	P N
asVar	FUNCTION	C++	toggldesktop	third_party/poco/JSON/src/Handler.cpp	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/JSON/src/Handler.cpp	as Var	P N	70	P N	P N	P N	P N
asWriter	FUNCTION	Java	guava	guava/src/com/google/common/io/CharStreams.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/io/CharStreams.java	as Writer	P N	70	P N	P N	P N	P N
atalk_len	FUNCTION	C	wireshark	epan/dissectors/packet-atalk.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/packet-atalk.c	atalk len	N NM	8	N NM	PRE N	N NM	N NM
aThrowable	PARAMETER	Java	Spark	core/src/main/java/org/jivesoftware/spark/component/MessageDialog.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/spark/component/MessageDialog.java	a Throwable	DT NM	3	DT NM	DT NM	DT NM	DT NM
atime	PARAMETER	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/store/dfs/DrillFileSystem.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/dfs/DrillFileSystem.java	a time	NM N	103	NM N	DT N	NM N	NM N
atLeastOneWrite	ATTRIBUTE	Java	drill	contrib/storage-mongo/src/main/java/org/apache/drill/exec/store/bson/BsonRecordReader.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/storage-mongo/src/main/java/org/apache/drill/exec/store/bson/BsonRecordReader.java	at Least One Write	P DT D V	1	P DT D V	P DT D V	P DT D V	P DT D V
atMost	FUNCTION	Java	immutables	criteria/common/src/org/immutables/criteria/matcher/ComparableMatcher.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/criteria/common/src/org/immutables/criteria/matcher/ComparableMatcher.java	at Most	P DT	3	P DT	P DT	P DT	P DT
aVoid	PARAMETER	Java	immutables	value-processor/src/org/immutables/value/processor/meta/MoreElements.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/MoreElements.java	a Void	DT N	109	DT N	DT N	DT N	DT N
b_next	DECLARATION	C	git2r	src/libgit2/src/libgit2/xdiff/xhistogram.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/xdiff/xhistogram.c	b next	N DT	6	N DT	N DT	N DT	N DT
b_only	PARAMETER	C	ovs	lib/svec.h	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/svec.h	b only	N VM	7	N VM	N VM	N VM	N VM
B1110	ATTRIBUTE	Java	deeplearning4j	datavec/datavec-api/src/main/java/org/datavec/api/records/IOUtils.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/datavec/datavec-api/src/main/java/org/datavec/api/records/IOUtils.java	B 1110	N D	125	N D	N D	N D	N D
b1Index	PARAMETER	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/StreamingAggTemplate.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/StreamingAggTemplate.java	b 1 Index	N D N	9	N D N	N D N	N D N	N D N
b3	PARAMETER	Java	guava	android/guava/src/com/google/common/primitives/Longs.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/primitives/Longs.java	b 3	N D	125	N D	N D	N D	N D
badonly	DECLARATION	C	toxcore	toxcore/DHT.c	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/DHT.c	bad only	NM VM	2	NM VM	NM VM	NM VM	NM VM
BaseLevel1	CLASS	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/impl/BaseLevel1.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/impl/BaseLevel1.java	Base Level 1	NM N D	33	NM N D	NM N D	NM N D	NM N D
BaseLevel3	CLASS	Java	deeplearning4j	nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/impl/BaseLevel3.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/impl/BaseLevel3.java	Base Level 3	NM N D	33	NM N D	NM N D	NM N D	NM N D
be32ofs	PARAMETER	C	ovs	lib/classifier.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/classifier.c	be32 ofs	NM N	103	NM N	NM N	NM N	NM N
before	DECLARATION	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/HashAggTemplate.java	before	P	10	P	P	P	P
beforeExecute	FUNCTION	Java	cglib	cglib/src/main/java/net/sf/cglib/transform/AbstractProcessTask.java	https://github.com/cglib/cglib/blob/5c947539c1218dc4ff1a14a7c36b4856b0ee6397/cglib/src/main/java/net/sf/cglib/transform/AbstractProcessTask.java	before Execute	P V	13	P V	P V	P V	P V
beforeFirst	ATTRIBUTE	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/MemoryIterator.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/MemoryIterator.java	before First	P DT	3	P NM	P NM	P DT	P DT
behind_rem_start	DECLARATION	C++	s3fs-fuse	src/fdcache_fdinfo.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_fdinfo.cpp	behind rem start	P NM N	31	P NM N	P NM N	P NM N	P NM N
behind_size	PARAMETER	C++	s3fs-fuse	src/fdcache_entity.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_entity.cpp	behind size	P N	70	P N	P N	P N	P N
behind_start	PARAMETER	C++	s3fs-fuse	src/fdcache_entity.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_entity.cpp	behind start	P N	70	P N	P N	P N	P N
bfloat16Indexer	DECLARATION	Java	deeplearning4j	nd4j/nd4j-tvm/src/main/java/org/nd4j/tvm/util/TVMUtils.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-tvm/src/main/java/org/nd4j/tvm/util/TVMUtils.java	b float 16 Indexer	PRE N D N	2	PRE N D N	PRE N D N	PRE N D N	PRE N D N
bfloat16ToDouble	FUNCTION	Java	deeplearning4j	nd4j/nd4j-common/src/main/java/org/nd4j/common/util/ArrayUtil.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/nd4j/nd4j-common/src/main/java/org/nd4j/common/util/ArrayUtil.java	b float 16 To Double	PRE N D P N	1	PRE N D P N	PRE N D P N	PRE N D P N	PRE N D P N
bForce16bpp	PARAMETER	C++	panda3d	panda/src/dxgsg9/wdxGraphicsPipe9.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/dxgsg9/wdxGraphicsPipe9.cxx	b Force 16 bpp	PRE V D N	2	PRE V D N	PRE V D N	PRE V D N	PRE V D N
